,date,men_gold,men_silver,men_bronze,total_gold,total_silver,total_bronze,women_gold,women_silver,women_bronze,total_medals,men_total,women_total,Fencing,Judo,Skateboarding,Swimming,country,Canoe Slalom,Cycling Road,Cycling Mountain Bike,Diving,Rugby Sevens,Archery,Shooting,Artistic Gymnastics,Equestrian,Table Tennis,Cycling BMX Freestyle,Triathlon,Rowing,Athletics,Badminton,Tennis,Trampoline Gymnastics,Cycling BMX Racing,Sailing,Boxing,Golf,3x3 Basketball,Surfing,Cycling Track,Wrestling,Artistic Swimming,Weightlifting,Sport Climbing,Taekwondo,Canoe Sprint,Marathon Swimming,Hockey,Football,Volleyball,Breaking,Rhythmic Gymnastics,Beach Volleyball
0,2024-07-28,2,1,1,4,2,1,2,1,0,21,12,9,"(1, 0, 0)","(2, 0, 1)","(1, 1, 0)","(0, 1, 0)",Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-28,0,2,0,4,2,0,4,0,0,18,6,12,,,,"(2, 2, 0)",Australia,"(1, 0, 0)","(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-28,1,1,1,3,6,3,2,5,2,36,9,27,"(1, 1, 0)",,,"(2, 3, 2)",United States,,"(0, 0, 1)","(0, 1, 0)","(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-28,2,2,0,3,3,2,1,1,2,24,12,12,"(0, 2, 0)","(0, 1, 2)",,"(1, 0, 0)",France,,,"(1, 0, 0)",,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-07-28,1,0,1,0,1,0,3,2,1,3,6,18,"(1, 0, 0)",,,"(0, 0, 1)",Korea,,,,,,"(1, 0, 0)","(1, 2, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-07-28,1,0,0,1,0,0,3,1,2,3,3,18,,,,"(0, 0, 2)",China,,,,"(1, 0, 0)",,"(0, 1, 0)","(2, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-07-28,1,2,3,1,2,3,0,0,0,18,18,0,"(0, 0, 1)",,,"(1, 0, 1)",Italy,,"(0, 1, 0)",,,,,"(0, 1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-07-28,1,0,1,0,0,1,1,0,2,3,6,9,,"(1, 0, 1)",,,Kazakhstan,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-07-28,1,0,1,1,0,1,0,0,0,6,6,0,,,,,Belgium,,"(1, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-28,1,0,0,1,0,0,0,0,0,3,3,0,,,,"(1, 0, 0)",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-07-28,1,0,0,1,0,0,0,0,0,3,3,0,"(1, 0, 0)",,,,"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-07-28,1,0,0,1,0,0,0,0,0,3,3,0,,"(1, 0, 0)",,,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2024-07-28,0,1,0,0,2,2,0,1,2,12,3,9,,,,"(0, 1, 0)",Great Britain,"(0, 0, 1)","(0, 1, 0)",,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
