,date,country,men_gold,men_silver,men_bronze,total_gold,total_silver,total_bronze,women_gold,women_silver,women_bronze,total_medals,men_total,women_total,Fencing,Judo,Skateboarding,Swimming,Canoe Slalom,Cycling Road,Cycling Mountain Bike,Diving,Rugby Sevens,Archery,Shooting,Artistic Gymnastics,Equestrian,Table Tennis,Cycling BMX Freestyle,Triathlon,Rowing,Athletics,Badminton,Tennis,Trampoline Gymnastics,Cycling BMX Racing,Sailing,Boxing,Golf,3x3 Basketball,Surfing,Cycling Track,Wrestling,Artistic Swimming,Weightlifting,Sport Climbing,Taekwondo,Canoe Sprint,Marathon Swimming,Hockey,Football,Volleyball,Breaking,Rhythmic Gymnastics,Beach Volleyball
0,2024-07-28,Japan,2,1,1,4,2,1,2,1,0,7,4,3,"(1, 0, 0)","(2, 0, 1)","(1, 1, 0)","(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-28,Australia,0,2,0,4,2,0,4,0,0,6,2,4,,,,"(2, 2, 0)","(1, 0, 0)","(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-28,United States,1,1,1,3,6,3,2,5,2,12,3,9,"(1, 1, 0)",,,"(2, 3, 2)",,"(0, 0, 1)","(0, 1, 0)","(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-28,France,2,2,0,3,3,2,1,1,2,8,4,4,"(0, 2, 0)","(0, 1, 2)",,"(1, 0, 0)",,,"(1, 0, 0)",,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-07-28,Korea,1,0,1,3,2,1,2,1,0,6,2,3,"(1, 0, 0)",,,"(0, 0, 1)",,,,,,"(1, 0, 0)","(1, 2, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-07-28,China,1,0,0,3,1,2,1,1,2,6,1,4,,,,"(0, 0, 2)",,,,"(1, 0, 0)",,"(0, 1, 0)","(2, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-07-28,Italy,1,2,3,1,2,3,0,0,0,6,6,0,"(0, 0, 1)",,,"(1, 0, 1)",,"(0, 1, 0)",,,,,"(0, 1, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-07-28,Kazakhstan,1,0,1,1,0,2,0,0,0,3,2,0,,"(1, 0, 1)",,,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-07-28,Belgium,1,0,1,1,0,1,0,0,0,2,2,0,,,,,,"(1, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-28,Germany,1,0,0,1,0,0,0,0,0,1,1,0,,,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-07-28,"Hong Kong, China",1,0,0,1,0,0,0,0,0,1,1,0,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-07-28,Uzbekistan,1,0,0,1,0,0,0,0,0,1,1,0,,"(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2024-07-28,Great Britain,0,1,0,0,2,2,0,1,2,4,1,3,,,,"(0, 1, 0)","(0, 0, 1)","(0, 1, 0)",,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2024-07-28,Brazil,0,1,0,0,1,2,0,0,2,3,1,2,,"(0, 1, 1)","(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2024-07-28,Canada,0,1,1,0,1,1,0,0,0,2,2,0,"(0, 0, 1)",,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2024-07-28,Fiji,0,1,0,0,1,0,0,0,0,1,1,0,,,,,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2024-07-28,Kosovo,0,1,0,0,1,0,0,0,0,1,1,0,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2024-07-28,Mongolia,0,1,0,0,1,0,0,0,0,1,1,0,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2024-07-28,Poland,0,1,0,0,1,0,0,0,0,1,1,0,,,,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2024-07-28,Tunisia,0,1,0,0,1,0,0,0,0,1,1,0,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2024-07-28,Sweden,0,0,2,0,0,2,0,0,0,2,2,0,,"(0, 0, 1)",,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2024-07-28,Egypt,0,0,1,0,0,1,0,0,0,1,1,0,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2024-07-28,Spain,0,0,1,0,0,1,0,0,0,1,1,0,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2024-07-28,Hungary,0,0,1,0,0,1,0,0,0,1,1,0,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2024-07-28,India,0,0,1,0,0,1,0,0,0,1,1,0,,,,,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2024-07-28,Republic of Moldova,0,0,1,0,0,1,0,0,0,1,1,0,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2024-07-28,Mexico,0,0,1,0,0,1,0,0,0,1,1,0,,,,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2024-07-28,South Africa,0,0,1,0,0,1,0,0,0,1,1,0,,,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2024-07-29,Japan,4,1,2,6,2,4,2,1,1,12,7,4,"(1, 0, 0)","(2, 0, 3)","(2, 1, 0)","(0, 1, 0)",,,,,,,,"(1, 0, 0)","(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2024-07-29,France,3,5,0,5,8,3,2,2,3,16,8,7,"(1, 3, 0)","(0, 2, 3)",,"(1, 0, 0)","(1, 0, 0)",,"(1, 1, 0)",,"(1, 0, 0)","(0, 1, 0)",,,"(0, 1, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
